ano,país,valor_fob_usd
2016,Alemanha,9131815383
2016,Andorra,36505
2016,Angola,71792466
2016,Anguilla,53945
2016,Antilhas Holandesas,27335690
2016,Antígua e Barbuda,345023
2016,Argentina,9084526540
2016,Argélia,1621056291
2016,Armênia,113796
2016,Arábia Saudita,1300618642
2016,Austrália,829491005
2016,Azerbaijão,178892
2016,Bahamas,1566209
2016,Bangladesh,125053361
2016,Barbados,12536351
2016,Barein,88170170
2016,Belarus,430722785
2016,Belize,218769
2016,Benin,416
2016,Bermudas,127
2016,Bolívia,1341836739
2016,Botsuana,14163
2016,"Bouvet, Ilha",21405
2016,Brasil,300185695
2016,Brunei,202315
2016,Bulgária,46958259
2016,Butão,89326
2016,Bélgica,1516275144
2016,Bósnia-Herzegovina,1763091
2016,Cabo Verde,51033
2016,Camarões,1059433
2016,Camboja,24386111
2016,Canadá,1865434145
2016,"Canal, Ilhas do (Guernsey)",36679
2016,Catar,532439642
2016,"Cayman, Ilhas",381524
2016,Cazaquistão,46140354
2016,Chile,2894901895
2016,China,23349925863
2016,Chipre,381726
2016,"Cocos (Keeling), Ilhas",2691
2016,Colômbia,907939815
2016,Comores,41331
2016,Congo,66218
2016,"Congo, República Democrática",9905170
2016,Coreia do Norte,5888198
2016,Coreia do Sul,5453665551
2016,Costa Rica,49171557
2016,Costa do Marfim,46192671
2016,Coveite (Kuweit),287402518
2016,Croácia,6938002
2016,Cuba,55042964
2016,Curaçao,4647771
2016,Dinamarca,609517962
2016,Djibuti,7956
2016,Dominica,54572
2016,Egito,94435153
2016,El Salvador,5866915
2016,Emirados Árabes Unidos,366277406
2016,Equador,144042756
2016,Eritreia,251
2016,Eslováquia,99036564
2016,Eslovênia,59201053
2016,Espanha,2565388564
2016,Estados Unidos,23816439862
2016,Estônia,26481722
2016,Etiópia,53502
2016,Falkland (Malvinas),102791
2016,"Faroe, Ilhas",8822
2016,Fiji,92546
2016,Filipinas,195180734
2016,Finlândia,608918198
2016,França,3693671433
2016,Gabão,12712
2016,Gana,185065040
2016,Geórgia,1323403
2016,Gibraltar,52410
2016,Granada,35987
2016,Groenlândia,690
2016,Grécia,105209075
2016,Guatemala,39204556
2016,Guiana,5953831
2016,Guiana Francesa,126524
2016,Guiné,19
2016,Guiné Equatorial,145993760
2016,Guiné-Bissau,1291847
2016,Gâmbia,35887
2016,Haiti,570709
2016,Honduras,12149845
2016,Hong Kong,466888456
2016,Hungria,281959673
2016,Ilha de Man,64049
2016,Indonésia,1225348063
2016,Iraque,114595900
2016,Irlanda,469422839
2016,Irã,78496642
2016,Islândia,15800711
2016,Israel,696601863
2016,Itália,3702786482
2016,Iêmen,132035
2016,Jamaica,1383401
2016,Japão,3565763156
2016,"Johnston, Ilhas",1906
2016,Jordânia,6045645
2016,Kiribati,473
2016,Laos,577662
2016,Lesoto,7513
2016,Letônia,9085759
2016,Libéria,83882
2016,Liechtenstein,9470337
2016,Lituânia,21975290
2016,Luxemburgo,126028049
2016,Líbano,2050786
2016,Líbia,26797682
2016,Macau,2409701
2016,Macedônia,3195618
2016,Madagascar,973096
2016,"Madeira, Ilha da",3070
2016,Malavi,1337324
2016,Maldivas,25098
2016,Mali,19308
2016,Malta,30342218
2016,Malásia,1185307308
2016,"Marianas do Norte, Ilhas",733
2016,Marrocos,655335483
2016,"Marshall, Ilhas",97676
2016,Mauritânia,456737
2016,Maurício,453675
2016,Mianmar,2019874
2016,Micronésia,1195
2016,"Midway, Ilhas",32
2016,Moldávia,1500854
2016,Mongólia,161963
2016,Montenegro,145212
2016,Montserrat,142847
2016,Moçambique,23059016
2016,México,3528126434
2016,Mônaco,3717514
2016,Namíbia,183479
2016,Nauru,2991
2016,Nepal,349717
2016,Nicarágua,3224916
2016,Nigéria,1305142386
2016,"Norfolk, Ilha",31011
2016,Noruega,539290241
2016,Nova Caledônia,70307
2016,Nova Zelândia,55975694
2016,Níger,37866
2016,Omã,95603369
2016,Organizações Internacionais,456
2016,"Pacífico, Ilhas do (EUA)",220064
2016,Palau,152
2016,Palestina,142797
2016,Panamá,8490740
2016,Papua Nova Guiné,14983
2016,Paquistão,45063031
2016,Paraguai,2947351595
2016,Países Baixos (Holanda),1787092582
2016,Peru,1239720036
2016,Pitcairn,229
2016,Polinésia Francesa,389
2016,Polônia,487256660
2016,Porto Rico,270976732
2016,Portugal,640068226
2016,Quirguistão,84293
2016,Quênia,594709
2016,Reino Unido,2297059913
2016,República Centro-Africana,203160
2016,República Dominicana,13913474
2016,Reunião,38202
2016,Romênia,269293621
2016,Ruanda,12098
2016,Rússia,2020634544
2016,Saara Ocidental,396
2016,Samoa,355380
2016,Samoa Americana,2259
2016,San Marino,9260728
2016,Santa Helena,5325
2016,Santa Lúcia,68667
2016,Seicheles,363712
2016,Senegal,4506927
2016,Serra Leoa,192073
2016,Singapura,426301270
2016,Sint Maarten,62916
2016,Somália,14267
2016,Sri Lanka,48924893
2016,Suazilândia,153105
2016,Sudão,1069880
2016,Suriname,56546
2016,Suécia,973125095
2016,Suíça,1900540795
2016,São Cristóvão e Névis,439674
2016,Sérvia,26119372
2016,Síria,1152664
2016,Tadjiquistão,2957
2016,Tailândia,1344057036
2016,Taiwan (Formosa),1637006850
2016,Tanzânia,80048
2016,"Tcheca, República",464725887
2016,Timor Leste,4186
2016,Togo,23670
2016,Toquelau,275778
2016,Trinidad e Tobago,242397628
2016,Tunísia,47545255
2016,"Turcas e Caicos, Ilhas",115
2016,Turcomenistão,6235
2016,Turquia,396906855
2016,Tuvalu,31
2016,Ucrânia,31455516
2016,Uganda,4021
2016,Uruguai,1284214809
2016,Uzbequistão,476061
2016,Vanuatu,268
2016,Venezuela,415302694
2016,Vietnã,1600769841
2016,"Virgens, Ilhas (Americanas)",26238179
2016,"Virgens, Ilhas (Britânicas)",1927421
2016,"Wake, Ilha",39154
2016,Zimbábue,18392498
2016,Zâmbia,150523
2016,África do Sul,336283123
2016,Áustria,1051965455
2016,Índia,2482209392
2017,Afeganistão,219001
2017,"Aland, Ilhas",1737
2017,Albânia,1168632
2017,Alemanha,9474693931
2017,Andorra,33497
2017,Angola,265736825
2017,Anguilla,91288
2017,Antilhas Holandesas,30546515
2017,Antígua e Barbuda,32003
2017,Argentina,9445651277
2017,Argélia,2313329772
2017,Armênia,141323
2017,Arábia Saudita,1882332123
2017,Austrália,1363625488
2017,Azerbaijão,183431
2017,Bahamas,5602939
2017,Bangladesh,157363518
2017,Barbados,324848
2017,Barein,94755176
2017,Belarus,543244347
2017,Belize,340968
2017,Benin,11941
2017,Bermudas,209930
2017,Bolívia,1285108586
2017,"Bonaire, Saint Eustatius e Saba",68136
2017,Botsuana,18665
2017,Brasil,241109778
2017,Brunei,187262
2017,Bulgária,48405829
2017,Burkina Faso,234213
2017,Butão,249085
2017,Bélgica,1778191018
2017,Bósnia-Herzegovina,3391022
